년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상
2023,부산,입원(연인원), J18 ,6182.0,108.0,21.0,343.0,3966,1210.0,534.0
2023,부산,입원(연인원), M96 ,5683.0,279.0,198.0,330.0,3996,880.0,
2023,부산,입원(연인원), I63 ,5281.0,430.0,,,2939,1801.0,111.0
2023,부산,입원(연인원), M17 ,5073.0,140.0,204.0,318.0,3656,509.0,246.0
2023,부산,입원(연인원), G81 ,4895.0,,,410.0,4167,318.0,
2023,부산,입원(연인원), S46 ,4659.0,238.0,151.0,336.0,3433,501.0,
2023,부산,입원(연인원), I20 ,4355.0,43.0,25.0,136.0,3736,393.0,22.0
2023,부산,입원(연인원), M75 ,3312.0,308.0,90.0,147.0,2435,332.0,
2023,부산,입원(연인원), N18 ,3059.0,29.0,,,2299,578.0,153.0
2023,부산,입원(연인원), I69 ,3046.0,49.0,119.0,135.0,2476,267.0,
2023,부산,입원(연인원), S32 ,2931.0,,,107.0,1959,737.0,128.0
2023,부산,입원(연인원), I50 ,2691.0,8.0,8.0,32.0,1141,983.0,519.0
2023,부산,입원(연인원), N40 ,2228.0,29.0,29.0,94.0,1645,427.0,4.0
2023,부산,입원(연인원), M43 ,2089.0,,,162.0,1687,240.0,
2023,부산,입원(연인원), C34 ,2066.0,85.0,128.0,229.0,1010,442.0,172.0
2023,부산,입원(연인원), G82 ,1960.0,478.0,,173.0,1309,,
2023,부산,입원(연인원), M54 ,1956.0,,,,1716,240.0,
2023,부산,입원(연인원), C16 ,1900.0,16.0,,74.0,1122,244.0,444.0
2023,부산,외래, N40 ,29435.0,323.0,448.0,1020.0,22297,4195.0,1152.0
2023,부산,외래, E11 ,22656.0,817.0,751.0,1207.0,16832,2671.0,378.0
2023,부산,외래, L30 ,21747.0,920.0,550.0,878.0,16215,2765.0,419.0
2023,부산,외래, M17 ,17450.0,463.0,543.0,1582.0,12662,1987.0,213.0
2023,부산,외래, I20 ,17077.0,268.0,315.0,710.0,13309,2086.0,389.0
2023,부산,외래, M48 ,16763.0,272.0,558.0,647.0,12806,2200.0,280.0
2023,부산,외래, N18 ,13928.0,768.0,393.0,217.0,10250,1746.0,554.0
2023,부산,외래, K05 ,12407.0,655.0,431.0,784.0,9076,1266.0,195.0
2023,부산,외래, I10 ,11643.0,490.0,388.0,694.0,8188,1515.0,368.0
2023,부산,외래, K08 ,8535.0,174.0,197.0,527.0,6480,891.0,266.0
2023,부산,외래, M54 ,8504.0,294.0,381.0,245.0,6135,1369.0,80.0
2023,부산,외래, K02 ,7810.0,485.0,241.0,455.0,5667,839.0,123.0
2023,부산,외래, N31 ,7558.0,278.0,161.0,373.0,5471,1093.0,182.0
2023,부산,외래, F06 ,7422.0,4.0,59.0,306.0,5900,1011.0,142.0
2023,부산,외래, H35 ,7056.0,102.0,86.0,235.0,5497,941.0,195.0
2023,부산,외래, I63 ,7001.0,138.0,136.0,175.0,5139,1168.0,245.0
