상병코드,지역,연인원
 R42 ,광주,975.0
 K81 ,광주,2035.0
 K40 ,광주,523.0
 E11 ,광주,784.0
 Z49 ,광주,7906.0
 C25 ,광주,1569.0
 M75 ,광주,1540.0
 L89 ,광주,2601.0
 G81 ,광주,2575.0
 G20 ,광주,2379.0
 J69 ,광주,2325.0
 M51 ,광주,2095.0
 N18 ,광주,1833.0
 S72 ,광주,1800.0
 N40 ,광주,
 I10 ,광주,
 E11 ,광주,
 M48 ,광주,
 E30 ,광주,
 I20 ,광주,
 M17 ,광주,
 K05 ,광주,
 Z26 ,광주,
 I63 ,광주,
 K21 ,광주,
 H25 ,광주,
 F00 ,광주,
 M51 ,광주,
 M75 ,광주,
 Z49 ,광주,
 C61 ,광주,
 R41 ,광주,
 J44 ,광주,
R63,광주,
 I20 ,광주,4709.0
 N40 ,광주,4185.0
 H25 ,광주,696.0
 M48 ,광주,7956.0
 I63 ,광주,9469.0
 C61 ,광주,3845.0
 C67 ,광주,1332.0
 C22 ,광주,3214.0
 K80 ,광주,2010.0
 E11 ,광주,1955.0
 I10 ,광주,1062.0
 M51 ,광주,3196.0
 R42 ,광주,1080.0
 I48 ,광주,1406.0
 C25 ,광주,1955.0
 C16 ,광주,2634.0
 N18 ,광주,2356.0
 C18 ,광주,2133.0
 J18 ,광주,1481.0
 C34 ,광주,2237.0
 L89 ,광주,3318.0
 S72 ,광주,2559.0
 G20 ,광주,2531.0
 I61 ,광주,2414.0
 M17 ,광주,1740.0
 K81 ,광주,1704.0
 N40 ,광주,24580.0
 I10 ,광주,18198.0
 E11 ,광주,16018.0
 E30 ,광주,14942.0
 I20 ,광주,14881.0
 M48 ,광주,14816.0
 K05 ,광주,10702.0
 M17 ,광주,10421.0
 Z26 ,광주,9082.0
 H25 ,광주,8948.0
 N18 ,광주,8791.0
 I63 ,광주,7804.0
 K21 ,광주,7094.0
 C61 ,광주,5862.0
 M75 ,광주,5849.0
 M51 ,광주,5835.0
 F00 ,광주,5767.0
 R41 ,광주,4999.0
 J00 ,광주,4576.0
K02,광주,4167.0
