상병코드,지역
S337,광주
S348,광주
S37008,광주
S42420,광주
S4630,광주
S518,광주
S52290,광주
S52291,광주
S602,광주
S610,광주
S6200,광주
S62350,광주
S62531,광주
S6270,광주
S6630,광주
S6638,광주
S68106,광주
S697,광주
S701,광주
S718,광주
S72450,광주
S7610,광주
S7640,광주
S7648,광주
S82120,광주
S82320,광주
S82321,광주
S8353,광주
S899,광주
S912,광주
S92280,광주
S9290,광주
S9698,광주
T07,광주
T094,광주
T130,광주
T135,광주
T1421,광주
T198,광주
T212,광주
T2339,광주
T2429,광주
T256,광주
T273,광주
T427,광주
T6031,광주
T622,광주
T634,광주
T782,광주
T793,광주
T844,광주
T849,광주
T859,광주
T873,광주
T876,광주
T931,광주
U8280,광주
W459,광주
Z889,광주
Z950,광주
Z9663,광주
A1801,광주
A199,광주
A418,광주
B172,광주
C021,광주
C089,광주
C119,광주
C138,광주
C148,광주
C153,광주
C1619,광주
C1651,광주
C171,광주
C249,광주
C260,광주
C435,광주
C490,광주
C493,광주
C5010,광주
C55,광주
C651,광주
C680,광주
C763,광주
C795,광주
C7981,광주
C833,광주
C837,광주
C950,광주
D133,광주
D166,광주
D239,광주
D2420,광주
D304,광주
D316,광주
D480,광주
D483,광주
D689,광주
D694,광주
D735,광주
D761,광주
E051,광주
E1010,광주
E1103,광주
E1363,광주
E1401,광주
E1448,광주
E268,광주
E538,광주
E669,광주
F104,광주
F107,광주
G030,광주
G309,광주
G4081,광주
G467,광주
G514,광주
G521,광주
G562,광주
G571,광주
G731,광주
G811,광주
G905,광주
G906,광주
H2501,광주
H2512,광주
H400,광주
H491,광주
H539,광주
H6690,광주
H931,광주
I151,광주
I210,광주
I253,광주
I38,광주
I4228,광주
I4890,광주
I4891,광주
I491,광주
I607,광주
I613,광주
I614,광주
I6311,광주
I6312,광주
I6318,광주
I7000,광주
I7129,광주
I745,광주
I7781,광주
I7782,광주
I792,광주
I8640,광주
I891,광주
I982,광주
I983,광주
J679,광주
J841,광주
J9609,광주
J989,광주
K047,광주
K122,광주
K270,광주
K294,광주
K4000,광주
K458,광주
K5082,광주
K558,광주
K5721,광주
K581,광주
K583,광주
K588,광주
K5902,광주
K620,광주
K628,광주
K6320,광주
K635,광주
K7011,광주
K702,광주
K710,광주
K7464,광주
K760,광주
K7681,광주
K818,광주
K8280,광주
K829,광주
K839,광주
K8511,광주
K8589,광주
K8590,광주
K8599,광주
K869,광주
K928,광주
L0301,광주
L032,광주
L0334,광주
L299,광주
L932,광주
L97,광주
M0097,광주
M0289,광주
M2599,광주
M358,광주
M4199,광주
M459,광주
M4780,광주
M4786,광주
M4789,광주
M4855,광주
M4926,광주
M519,광주
M5410,광주
M5417,광주
M6009,광주
M6529,광주
M6530,광주
M8409,광주
M8442,광주
M8449,광주
M8595,광주
M8629,광주
M8799,광주
M9974,광주
N048,광주
N051,광주
N058,광주
N119,광주
N130,광주
N1379,광주
N211,광주
N308,광주
N369,광주
N370,광주
N3941,광주
N432,광주
N47,광주
N4821,광주
N498,광주
N748,광주
Q180,광주
Q231,광주
Q441,광주
Q655,광주
Q992,광주
R040,광주
R064,광주
R093,광주
R1044,광주
R229,광주
R252,광주
R5090,광주
R5099,광주
R54,광주
R749,광주
S0200,광주
S1315,광주
S22051,광주
S22460,광주
S22461,광주
S3220,광주
S3681,광주
S42120,광주
S42250,광주
S42440,광주
S42490,광주
S4618,광주
S52030,광주
S52190,광주
S5349,광주
S5628,광주
S62120,광주
S62290,광주
S62590,광주
S62621,광주
S62690,광주
S82420,광주
