상병코드,59이하,60-64,65-69,70-79,80-89,90이상
I10,794.0,739.0,1479.0,13795,2158.0,432.0
M48,360.0,616.0,934.0,14226,1641.0,197.0
M17,627.0,757.0,1967.0,12373,1753.0,191.0
I20,224.0,392.0,907.0,12155,1479.0,254.0
N18,709.0,558.0,880.0,10203,1667.0,441.0
K05,643.0,427.0,954.0,9146,838.0,101.0
Z26,6328.0,849.0,850.0,2987,294.0,62.0
L29,387.0,273.0,460.0,8055,933.0,167.0
K02,661.0,297.0,727.0,7370,569.0,61.0
M54,373.0,219.0,666.0,7716,646.0,14.0
L30,518.0,268.0,630.0,6786,903.0,134.0
K08,299.0,262.0,706.0,6401,571.0,119.0
Z00,5735.0,409.0,516.0,1348,128.0,18.0
I63,308.0,128.0,257.0,5977,847.0,208.0
H25,29.0,87.0,347.0,6052,736.0,114.0
H04,310.0,248.0,529.0,4962,540.0,150.0
H35,111.0,80.0,292.0,5362,543.0,130.0
 U07 ,141.0,55.0,62.0,224,135.0,37.0
 I20 ,10.0,9.0,34.0,488,43.0,7.0
 M48 ,6.0,8.0,12.0,220,17.0,4.0
 N40 ,2.0,3.0,7.0,226,21.0,
 J18 ,4.0,2.0,3.0,113,36.0,23.0
 I50 ,2.0,,1.0,102,48.0,27.0
 M51 ,14.0,,10.0,123,10.0,
 M17 ,,4.0,16.0,102,6.0,1.0
 C16 ,5.0,4.0,4.0,77,10.0,3.0
 M96 ,3.0,1.0,1.0,80,5.0,
 I63 ,4.0,1.0,2.0,62,14.0,4.0
 K63 ,4.0,1.0,4.0,74,2.0,1.0
 S46 ,7.0,4.0,4.0,60,1.0,
 C34 ,2.0,2.0,5.0,40,18.0,2.0
 K29 ,,1.0,2.0,54,9.0,2.0
 I73 ,,,2.0,52,8.0,1.0
 K40 ,1.0,,2.0,44,9.0,1.0
 E11 ,,1.0,1.0,49,4.0,
 S32 ,1.0,1.0,3.0,32,12.0,5.0
 M75 ,3.0,3.0,4.0,44,,
 M48 ,138.0,206.0,411.0,11414,646.0,97.0
