주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A94,외래,47.0,1082670.0,3669380.0,23035.531914893618,78071.91489361702
A94,입원,1.0,127760.0,134480.0,127760.0,134480.0
A95,외래,8.0,550620.0,759020.0,68827.5,94877.5
A97,외래,167.0,7778790.0,18490390.0,46579.58083832335,110720.89820359282
A97,입원,66.0,114289610.0,148102150.0,1731660.7575757576,2243971.9696969697
A98,외래,137.0,8019450.0,15090320.0,58536.131386861314,110148.32116788322
A98,입원,94.0,271399040.0,355445690.0,2887223.829787234,3781337.1276595746
A99,외래,68.0,1158060.0,1682330.0,17030.29411764706,24740.147058823528
A99,입원,5.0,15400040.0,20334040.0,3080008.0,4066808.0
B00,외래,886180.0,20053802020.0,27438021690.0,22629.490645241374,30962.13149698707
B00,입원,1857.0,2629108230.0,3320969740.0,1415782.5686591277,1788352.040926225
B01,외래,26188.0,618160570.0,931512760.0,23604.726210478082,35570.213838399264
B01,입원,962.0,1667318090.0,1982832160.0,1733178.8877338876,2061156.0914760914
B02,외래,742465.0,37358228770.0,54707325100.0,50316.48464237372,73683.37241486131
B02,입원,25076.0,34115329340.0,45164099790.0,1360477.32253948,1801088.6820066997
B04,외래,86.0,12789320.0,18956730.0,148713.02325581395,220427.09302325582
B04,입원,177.0,534838990.0,633468670.0,3021689.209039548,3578919.0395480227
B05,외래,117.0,5331250.0,9033800.0,45566.23931623931,77211.96581196581
B05,입원,17.0,22561690.0,27191510.0,1327158.2352941176,1599500.5882352942
B06,외래,119.0,5854390.0,8985610.0,49196.554621848736,75509.32773109243
B06,입원,4.0,6300500.0,6702750.0,1575125.0,1675687.5
B07,외래,455338.0,63301096160.0,90319268270.0,139020.0162516636,198356.53573828674
B07,입원,167.0,117633090.0,153149420.0,704389.760479042,917062.3952095809
B08,외래,602015.0,16799523150.0,21891014370.0,27905.48931505029,36362.905193392195
B08,입원,24825.0,19548984520.0,21525301750.0,787471.6825780463,867081.641490433
B09,외래,21744.0,536545070.0,915806940.0,24675.545897718912,42117.6848785872
B09,입원,501.0,241082410.0,277095090.0,481202.4151696607,553084.0119760479
B15,외래,1540.0,96955330.0,191223360.0,62958.006493506495,124171.01298701299
B15,입원,469.0,1181225350.0,1487228880.0,2518604.157782516,3171063.710021322
B16,외래,1424.0,156851390.0,265318370.0,110148.44803370787,186319.08005617978
B16,입원,139.0,398551830.0,503221650.0,2867279.3525179857,3620299.64028777
B17,외래,26868.0,2238417870.0,3945780970.0,83311.66703885663,146858.00841149324
B17,입원,5954.0,10180335800.0,13363026330.0,1709831.340275445,2244377.9526368827
B18,외래,441259.0,90863661850.0,168014119780.0,205919.1129246089,380760.7771852812
B18,입원,3071.0,8240681100.0,10217200490.0,2683386.8772386843,3326994.6239010096
B19,외래,2478.0,152884730.0,237957850.0,61696.82405165456,96028.18805488296
B19,입원,117.0,181059350.0,228384320.0,1547515.811965812,1952002.735042735
B20,외래,855.0,5950026570.0,6611096960.0,6959095.403508772,7732277.146198831
B20,입원,94.0,979253150.0,1134472370.0,10417586.70212766,12068855.0
B21,외래,27.0,143177930.0,158327370.0,5302886.296296297,5863976.666666667
B21,입원,4.0,40121850.0,45133450.0,10030462.5,11283362.5
B22,외래,62.0,402152110.0,447265720.0,6486324.354838709,7213963.225806451
B22,입원,8.0,29662980.0,34120570.0,3707872.5,4265071.25
B23,외래,416.0,2792127410.0,3101839950.0,6711844.735576923,7456346.033653846
B23,입원,25.0,126089120.0,146555570.0,5043564.8,5862222.8
B24,외래,13567.0,102969482140.0,114422917990.0,7589701.639271762,8433914.49767819
B24,입원,412.0,2585869950.0,3006310710.0,6276383.3737864075,7296870.655339805
