day,veteran_patients,general_patients,total_patients,occupied_beds,bed_utilization_rate,veteran_revenue,general_revenue,total_revenue,doctor_efficiency,specialization_effect
71,90,30,120,168,0.842882981160101,4428027.661516458,2395436.110103355,6823463.771619813,0.043125000000000004,1.2209999999999999
72,79,35,114,157,0.7855670680539931,4077473.8313335455,2568375.33580535,6645849.167138895,0.04541666666666667,1.2213
73,90,30,120,158,0.7945619925771572,4680770.274944523,2565634.558010667,7246404.832955191,0.04316666666666667,1.2216
74,85,35,120,160,0.8006296200390898,4291512.341883253,2583557.2605204694,6875069.602403723,0.043187500000000004,1.2219
75,86,34,120,174,0.8725571803897522,4712486.455216639,3305665.6284431433,8018152.083659782,0.043208333333333335,1.2222
76,87,31,118,161,0.8091671002869176,5302564.275949688,2279542.0252319225,7582106.301181611,0.04396186440677966,1.2225
77,78,39,117,140,0.7,3694955.5415445035,2883150.609595246,6578106.151139749,0.04435897435897436,1.2227999999999999
78,86,34,120,178,0.8938085419607944,4708682.250420001,2563082.2056598263,7271764.456079828,0.043270833333333335,1.2230999999999999
79,84,33,117,146,0.7339883396489679,4969212.681658829,2951372.19187042,7920584.873529248,0.0444017094017094,1.2234
80,78,42,120,173,0.8676936187082707,3855329.4603514792,3775906.280823083,7631235.741174562,0.04331250000000001,1.2237
81,72,36,108,160,0.8002621849859092,3616913.0137553075,2750381.1442139777,6367294.157969285,0.048148148148148155,1.224
82,78,42,120,158,0.7928810257489354,3946915.2963676406,3532851.4482437395,7479766.744611381,0.04335416666666667,1.2243
83,78,42,120,144,0.7232942914632189,4398293.9605404185,3471657.508025143,7869951.468565561,0.043375000000000004,1.2246
84,90,30,120,161,0.805783731714643,5030683.732828721,2416204.435538426,7446888.168367147,0.04339583333333334,1.2248999999999999
85,90,30,120,157,0.7875517925760464,4937206.92792946,2554890.2279004357,7492097.155829895,0.04341666666666667,1.2251999999999998
86,78,42,120,166,0.834302572999922,4312785.549871339,2769063.532561834,7081849.082433173,0.043437500000000004,1.2255
87,74,40,114,157,0.7865296582777722,3965490.634644506,3680754.256670729,7646244.891315235,0.045745614035087714,1.2258
88,90,30,120,146,0.7309949270892555,3733477.9022901803,2386668.5522648115,6120146.454554992,0.04347916666666667,1.2261
89,83,37,120,140,0.7,4113015.1836021924,2573877.0278505636,6686892.211452756,0.043500000000000004,1.2264
90,86,34,120,150,0.7530060106836323,4079037.225545222,2431893.9220462055,6510931.147591427,0.043520833333333335,1.2267
91,89,31,120,150,0.7507136976832228,4674300.699405441,2348496.1106436346,7022796.810049076,0.043541666666666666,1.2269999999999999
92,83,37,120,149,0.7482378838790313,3920235.5382809197,2605428.1437937007,6525663.68207462,0.04356250000000001,1.2273
93,84,36,120,153,0.7650137246003708,4289871.5625083735,2847649.521689041,7137521.084197415,0.04358333333333334,1.2276
94,87,33,120,167,0.8378753855023653,4119232.0007894207,2487983.9844698044,6607215.985259226,0.04360416666666667,1.2279
95,78,42,120,144,0.7242404468900724,4433080.964303364,3912709.1517364318,8345790.116039796,0.043625000000000004,1.2282
96,87,33,120,163,0.8155625077271769,5689313.1516780285,2935567.776618728,8624880.928296756,0.04364583333333334,1.2285
97,78,42,120,143,0.7196776839871214,3979350.817988217,3105866.149584474,7085216.967572691,0.04366666666666667,1.2288
98,74,38,112,149,0.7459225998192803,4324242.4049768485,3308018.4861126333,7632260.891089482,0.04680803571428572,1.2290999999999999
