day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
99,부산,80,31,111,0.27927927927927926,0.06294,0.108087,0.7068599999999998
100,부산,80,35,115,0.30434782608695654,0.06297,0.1081185,0.7069299999999998
101,부산,80,28,108,0.25925925925925924,0.063,0.10815,0.7069999999999999
102,부산,80,24,104,0.23076923076923078,0.06303,0.1081815,0.7070699999999999
103,부산,80,30,110,0.2727272727272727,0.06305999999999999,0.10821299999999999,0.7071399999999999
104,부산,80,33,113,0.2920353982300885,0.06309000000000001,0.1082445,0.7072099999999998
105,부산,80,35,115,0.30434782608695654,0.06312,0.10827599999999998,0.7072799999999998
106,부산,80,27,107,0.2523364485981308,0.06315,0.1083075,0.7073499999999998
107,부산,80,32,112,0.2857142857142857,0.06318,0.108339,0.7074199999999998
108,부산,80,29,109,0.26605504587155965,0.06321,0.1083705,0.7074899999999998
109,부산,80,30,110,0.2727272727272727,0.06324,0.108402,0.7075599999999997
110,부산,80,37,117,0.3162393162393162,0.06326999999999999,0.10843349999999999,0.7076299999999998
111,부산,80,27,107,0.2523364485981308,0.0633,0.10846499999999999,0.7076999999999998
112,부산,80,31,111,0.27927927927927926,0.06333,0.10849650000000001,0.7077699999999999
113,부산,80,32,112,0.2857142857142857,0.06336,0.108528,0.7078399999999999
114,부산,80,33,113,0.2920353982300885,0.06339,0.1085595,0.7079099999999999
115,부산,80,31,111,0.27927927927927926,0.06341999999999999,0.108591,0.7079799999999999
116,부산,80,31,111,0.27927927927927926,0.06345,0.1086225,0.7080499999999998
117,부산,80,29,109,0.26605504587155965,0.06348,0.10865399999999999,0.7081199999999999
118,부산,80,31,111,0.27927927927927926,0.06351,0.10868549999999999,0.7081899999999999
119,부산,80,30,110,0.2727272727272727,0.06354,0.10871700000000001,0.7082599999999999
120,부산,80,32,112,0.2857142857142857,0.06357,0.1087485,0.7083299999999999
121,부산,80,29,109,0.26605504587155965,0.0636,0.10878,0.7083999999999998
122,부산,80,31,111,0.27927927927927926,0.06362999999999999,0.10881149999999999,0.7084699999999998
123,부산,80,30,110,0.2727272727272727,0.06366,0.108843,0.7085399999999998
124,부산,80,33,113,0.2920353982300885,0.06369000000000001,0.10887449999999999,0.7086099999999999
125,부산,80,30,110,0.2727272727272727,0.06372,0.10890599999999999,0.7086799999999999
126,부산,80,26,106,0.24528301886792453,0.06375,0.1089375,0.7087499999999998
127,부산,80,33,113,0.2920353982300885,0.06377999999999999,0.108969,0.7088199999999998
128,부산,80,28,108,0.25925925925925924,0.06380999999999999,0.1090005,0.7088899999999998
129,부산,80,29,109,0.26605504587155965,0.06384000000000001,0.10903199999999999,0.7089599999999998
130,부산,80,29,109,0.26605504587155965,0.06387,0.1090635,0.7090299999999998
131,부산,80,34,114,0.2982456140350877,0.0639,0.10909499999999998,0.7090999999999997
132,부산,80,25,105,0.23809523809523808,0.06393,0.10912649999999999,0.70917
133,부산,80,38,118,0.3220338983050847,0.06396,0.109158,0.7092399999999999
134,부산,80,33,113,0.2920353982300885,0.06398999999999999,0.1091895,0.7093099999999999
135,부산,80,31,111,0.27927927927927926,0.06402,0.109221,0.7093799999999999
136,부산,80,30,110,0.2727272727272727,0.06405,0.10925249999999999,0.7094499999999999
137,부산,80,31,111,0.27927927927927926,0.06408,0.10928399999999999,0.7095199999999999
138,부산,80,31,111,0.27927927927927926,0.06411,0.10931549999999998,0.7095899999999998
139,부산,80,32,112,0.2857142857142857,0.06413999999999999,0.10934700000000001,0.7096599999999998
140,부산,80,32,112,0.2857142857142857,0.06417,0.1093785,0.7097299999999999
141,부산,80,30,110,0.2727272727272727,0.06420000000000001,0.10941,0.7097999999999999
142,부산,80,30,110,0.2727272727272727,0.06423,0.1094415,0.7098699999999999
143,부산,80,30,110,0.2727272727272727,0.06426,0.10947299999999999,0.7099399999999998
144,부산,80,30,110,0.2727272727272727,0.06428999999999999,0.10950449999999999,0.7100099999999998
145,부산,80,33,113,0.2920353982300885,0.06432,0.10953599999999998,0.7100799999999998
146,부산,80,31,111,0.27927927927927926,0.06435,0.10956750000000001,0.7101499999999998
147,부산,80,23,103,0.22330097087378642,0.06437999999999999,0.109599,0.7102199999999999
148,부산,80,32,112,0.2857142857142857,0.06441,0.1096305,0.7102899999999998
149,부산,80,30,110,0.2727272727272727,0.06444,0.109662,0.7103599999999998
150,부산,80,30,110,0.2727272727272727,0.06447,0.10969349999999999,0.7104299999999998
151,부산,80,29,109,0.26605504587155965,0.0645,0.10972499999999999,0.7104999999999998
152,부산,80,33,113,0.2920353982300885,0.06452999999999999,0.10975649999999998,0.7105699999999998
153,부산,80,32,112,0.2857142857142857,0.06456,0.10978800000000001,0.7106399999999999
154,부산,80,28,108,0.25925925925925924,0.06459,0.1098195,0.71071
155,부산,80,31,111,0.27927927927927926,0.06462,0.109851,0.7107799999999999
156,부산,80,27,107,0.2523364485981308,0.06464999999999999,0.1098825,0.7108499999999999
157,부산,80,26,106,0.24528301886792453,0.06468,0.109914,0.7109199999999999
158,부산,80,28,108,0.25925925925925924,0.06471,0.10994549999999999,0.7109899999999999
159,부산,80,32,112,0.2857142857142857,0.06473999999999999,0.109977,0.7110599999999999
160,부산,80,32,112,0.2857142857142857,0.06477,0.11000850000000001,0.7111299999999998
161,부산,80,31,111,0.27927927927927926,0.0648,0.11004,0.7111999999999998
162,부산,80,31,111,0.27927927927927926,0.06483,0.1100715,0.7112699999999998
163,부산,80,31,111,0.27927927927927926,0.06486,0.11010299999999999,0.7113399999999999
164,부산,80,28,108,0.25925925925925924,0.06488999999999999,0.1101345,0.7114099999999999
165,부산,80,30,110,0.2727272727272727,0.06492,0.11016599999999999,0.7114799999999998
