,,합계,합계,합계,합계,합계,합계
,,mean,min,median,max,std,var
기준일,본인유족구분,,,,,,
2024-02-29,유족,11896.136363636364,0.0,2390.0,48122.0,15939.831224222859,254078219.45671
2024-03-31,본인,18200.954545454544,0.0,14116.5,126847.0,27238.18565819347,741918757.9502164
2024-03-31,유족,11928.818181818182,0.0,2434.0,48143.0,15986.531827451814,255569199.87012985
2024-04-30,본인,18174.636363636364,0.0,14176.0,125962.0,27059.73940068345,732229496.4329004
2024-04-30,유족,11962.136363636364,0.0,2472.5,48262.0,16041.234212982417,257321195.07575762
2024-05-31,본인,18152.727272727272,0.0,14242.0,125626.0,26980.53604815678,727949325.4458876
2024-05-31,유족,11989.454545454546,0.0,2497.5,48365.0,16089.575805255823,258874449.59307358
2024-06-30,본인,18139.18181818182,0.0,14316.0,125374.0,26918.39716383815,724600105.87013
2024-06-30,유족,12012.59090909091,0.0,2500.5,48480.0,16129.94137107135,260175008.63419914
2024-07-31,본인,18139.090909090908,0.0,14456.0,125362.0,26891.245264883215,723139071.896104
2024-07-31,유족,12043.363636363636,0.0,2516.5,48341.0,16175.904006666842,261659870.43290037
2024-08-31,본인,18117.727272727272,0.0,14529.0,124985.0,26821.06316060076,719369429.0649351
2024-08-31,유족,12068.318181818182,0.0,2533.0,48384.0,16219.899868713193,263085151.75108224
2024-09-30,본인,18092.136363636364,0.0,14585.0,124434.0,26725.840262607726,714270537.7424242
2024-09-30,유족,12096.59090909091,0.0,2568.0,48365.0,16263.437514162135,264499399.77705625
2024-10-31,본인,18058.909090909092,0.0,14613.5,124008.0,26651.884800514832,710322963.4199135
2024-10-31,유족,12127.181818181818,0.0,2584.0,48469.0,16320.272274328792,266351287.1082251
2024-11-30,본인,18032.5,0.0,14659.0,123635.0,26592.522269293244,707162240.6428571
2024-11-30,유족,12157.636363636364,0.0,2611.5,48634.0,16376.964093173401,268204952.9090909
2024-12-31,본인,18007.31818181818,0.0,14647.0,123503.0,26570.5778050448,705995604.8939394
2024-12-31,유족,12189.59090909091,0.0,2655.5,48719.0,16435.606662015398,270129166.3484849
2025-01-31,본인,17984.363636363636,0.0,14702.0,122283.0,26389.06629205046,696382819.7662337
2025-01-31,유족,12217.363636363636,0.0,2704.0,48894.0,16478.560173306447,271542945.3852814
2025-02-28,본인,17951.772727272728,0.0,14787.0,121028.0,26204.53897057098,686677862.6601732
2025-02-28,유족,12251.5,0.0,2712.5,49147.0,16549.10991923879,273873039.11904764
2025-03-31,본인,121.28571428571429,0.0,0.0,447.0,207.54173418513065,43073.57142857143
2025-03-31,유족,161.9,0.0,58.0,558.0,215.11208964423898,46273.21111111111
2025-04-30,본인,17909.363636363636,0.0,14855.5,118483.0,25863.102363434125,668900063.8614718
2025-04-30,유족,12315.272727272728,0.0,2764.0,49681.0,16680.3018077692,278232468.3982684
