기준일,본인유족구분,성별,mean,min,median,max,std,var
2022-11-30,유족,여,7309.909090909091,0.0,1230.5,34640.0,10676.822466976868,113994537.991342
2022-12-31,본인,남,18407.090909090908,0.0,12915.0,113496.0,26962.094697325214,726954550.4675325
2022-12-31,본인,여,274.3181818181818,0.0,228.5,811.0,274.7567558619349,75491.2748917749
2022-12-31,유족,남,4128.636363636364,0.0,444.0,20920.0,6675.4608369221505,44561777.385281384
2022-12-31,유족,여,7321.772727272727,0.0,1222.0,34545.0,10676.667394846258,113991226.66017316
2023-01-31,본인,남,18378.909090909092,0.0,12978.5,114898.0,26932.419198729694,725355203.8961039
2023-01-31,본인,여,276.8181818181818,0.0,226.0,811.0,276.16586395784765,76267.58441558441
2023-01-31,유족,남,4151.727272727273,0.0,438.0,21172.0,6716.86066255458,45116217.160173155
2023-01-31,유족,여,7334.181818181818,0.0,1219.0,34481.0,10681.62267250388,114097062.91774893
2023-02-28,본인,남,18314.454545454544,0.0,13025.5,115989.0,26872.76271392258,722145375.8787878
2023-02-28,본인,여,277.8181818181818,0.0,218.0,803.0,277.29383355904275,76891.87012987012
2023-02-28,유족,남,4173.590909090909,0.0,433.0,21420.0,6758.387872429278,45675806.63419914
2023-02-28,유족,여,7350.681818181818,0.0,1219.0,34395.0,10685.989199866042,114190365.17965369
2023-03-31,본인,남,18275.545454545456,0.0,13086.5,117184.0,26864.903953861744,721723064.4502164
2023-03-31,본인,여,279.90909090909093,0.0,229.5,808.0,277.62786142105665,77077.22943722944
2023-03-31,유족,남,4197.954545454545,0.0,435.0,21720.0,6804.866546238891,46306208.71212121
2023-03-31,유족,여,7365.227272727273,0.0,1220.5,34359.0,10693.690124073026,114355008.46969697
2023-04-30,본인,남,18247.5,0.0,13142.0,118297.0,26893.355884643614,723252590.7380953
2023-04-30,본인,여,280.59090909090907,0.0,227.0,803.0,277.9214789915463,77240.3484848485
2023-04-30,유족,남,4222.636363636364,0.0,432.5,21967.0,6855.578281644633,46998953.57575758
2023-04-30,유족,여,7371.772727272727,0.0,1214.5,34258.0,10690.359475143585,114283785.70779221
2023-05-31,본인,남,18204.545454545456,0.0,13166.0,119532.0,26947.22077502308,726152707.4978355
2023-05-31,본인,여,281.6363636363636,0.0,228.5,809.0,277.86628258151615,77209.670995671
2023-05-31,유족,남,4243.545454545455,0.0,432.0,22128.0,6889.95365750724,47471461.40259739
2023-05-31,유족,여,7386.636363636364,0.0,1210.5,34103.0,10696.484680872429,114414784.52813855
2023-06-30,본인,남,18182.954545454544,0.0,13190.0,120517.0,26984.43224647319,728159583.6645021
2023-06-30,본인,여,283.90909090909093,0.0,236.0,814.0,278.89593708575916,77782.94372294373
2023-06-30,유족,남,4262.227272727273,0.0,426.0,22352.0,6926.4319608144715,47975459.70779221
2023-06-30,유족,여,7394.909090909091,0.0,1204.5,34010.0,10700.230869378878,114494940.65800865
2023-07-31,본인,남,18171.590909090908,0.0,13332.5,121782.0,27056.0860483043,732031792.2532467
2023-07-31,본인,여,286.09090909090907,0.0,237.0,839.0,281.6054161226491,79301.61038961037
2023-07-31,유족,남,4280.045454545455,0.0,426.0,22533.0,6958.844180693288,48425512.33116883
2023-07-31,유족,여,7402.590909090909,0.0,1196.5,33962.0,10705.582947847666,114609506.25324674
2023-08-31,본인,남,18138.636363636364,0.0,13409.0,122815.0,27111.997705365746,735060419.5757575
2023-08-31,본인,여,286.54545454545456,0.0,231.0,845.0,282.0651271085029,79560.73593073591
2023-08-31,유족,남,4298.818181818182,0.0,426.0,22771.0,6992.901609328485,48900672.91774892
2023-08-31,유족,여,7414.772727272727,0.0,1191.5,33849.0,10710.847202860767,114722247.80303033
2023-09-30,본인,남,18101.227272727272,0.0,13465.0,123931.0,27183.40547699717,738937533.3268398
2023-09-30,본인,여,287.40909090909093,0.0,227.5,843.0,282.97865628598197,80076.91991341992
2023-09-30,유족,남,4319.181818181818,0.0,434.0,23043.0,7028.1403937271625,49394757.3939394
2023-09-30,유족,여,7424.0,0.0,1189.5,33690.0,10711.76376922209,114741883.04761903
2023-10-31,본인,남,18059.272727272728,0.0,13450.0,125070.0,27269.69872741506,743636468.6839826
2023-10-31,본인,여,287.72727272727275,0.0,222.5,838.0,283.2268452803263,80217.44588744588
2023-10-31,유족,남,4339.272727272727,0.0,429.0,23353.0,7067.405674623254,49948222.96969697
2023-10-31,유족,여,7433.227272727273,0.0,1188.5,33558.0,10713.57385985878,114780664.85064936
2023-11-30,본인,남,18026.0,0.0,13352.5,126053.0,27342.138497547105,747592537.6190475
2023-11-30,본인,여,288.3181818181818,0.0,217.0,833.0,283.3546299610195,80289.8463203463
2023-11-30,유족,남,4358.409090909091,0.0,429.5,23625.0,7100.382797588759,50415435.87229437
2023-11-30,유족,여,7443.681818181818,0.0,1192.0,33401.0,10713.466738670826,114778369.56060609
2023-12-31,본인,남,18026.0,0.0,13352.5,126053.0,27342.138497547105,747592537.6190475
2023-12-31,본인,여,288.3181818181818,0.0,217.0,833.0,283.3546299610195,80289.8463203463
2023-12-31,유족,남,4358.409090909091,0.0,429.5,23625.0,7100.382797588759,50415435.87229437
2023-12-31,유족,여,7443.681818181818,0.0,1192.0,33401.0,10713.466738670826,114778369.56060609
2024-01-31,본인,남,17969.909090909092,0.0,13181.5,127119.0,27372.593025574377,749258848.943723
2024-01-31,본인,여,290.90909090909093,0.0,213.5,842.0,284.789297065293,81104.94372294372
2024-01-31,유족,남,4400.363636363636,0.0,437.5,24205.0,7175.205738184891,51483577.385281384
2024-01-31,유족,여,7466.318181818182,0.0,1180.0,32998.0,10706.670312457261,114632789.17965367
2024-02-29,본인,남,17927.454545454544,0.0,13178.0,126889.0,27285.932617947456,744522118.8311689
2024-02-29,본인,여,292.0,0.0,209.5,851.0,286.48842742355066,82075.61904761904
2024-02-29,유족,남,4418.090909090909,0.0,439.0,24444.0,7211.395643992856,52004227.13419914
2024-02-29,유족,여,7478.045454545455,0.0,1170.5,32819.0,10705.465869079493,114606999.47402595
2024-03-31,본인,남,17905.954545454544,0.0,13260.0,126654.0,27201.907824333754,739943789.2835498
2024-03-31,본인,여,295.0,0.0,233.5,860.0,287.7348316303282,82791.33333333331
2024-03-31,유족,남,4440.636363636364,0.0,440.5,24728.0,7259.1787384462405,52695675.95670995
2024-03-31,유족,여,7488.181818181818,0.0,1172.0,32578.0,10702.450656770443,114542450.06060608
2024-04-30,본인,남,17878.590909090908,0.0,13312.5,125768.0,27023.066893831365,730246144.3484848
2024-04-30,본인,여,296.04545454545456,0.0,233.0,864.0,288.4456666296143,83200.9025974026
2024-04-30,유족,남,4466.863636363636,0.0,440.0,24945.0,7308.753247178244,53417874.028138526
2024-04-30,유족,여,7495.272727272727,0.0,1168.5,32336.0,10700.015065329038,114490322.39826839
2024-05-31,본인,남,17855.31818181818,0.0,13367.0,125430.0,26943.443410200955,725949142.7987013
2024-05-31,본인,여,297.40909090909093,0.0,230.5,876.0,291.3774608224265,84900.82467532468
2024-05-31,유족,남,4485.227272727273,0.0,444.0,25140.0,7346.992685263544,53978301.51731602
2024-05-31,유족,여,7504.227272727273,0.0,1164.5,32128.0,10703.781325315515,114570934.66017315
2024-06-30,본인,남,17839.227272727272,0.0,13429.0,125175.0,26881.519027607086,722616065.2316018
2024-06-30,본인,여,299.95454545454544,0.0,241.5,896.0,293.88586661730193,86368.90259740259
2024-06-30,유족,남,4504.636363636364,0.0,446.0,25251.0,7380.888903399712,54477521.004329
2024-06-30,유족,여,7507.954545454545,0.0,1160.0,31936.0,10702.282513456441,114538850.99783552
2024-07-31,본인,남,17836.18181818182,0.0,13560.0,125159.0,26853.710584495475,721121772.1558442
2024-07-31,본인,여,302.90909090909093,0.0,250.0,909.0,296.8846030572612,88140.46753246753
2024-07-31,유족,남,4524.909090909091,0.0,447.5,25474.0,7418.452604078632,55033439.03896104
2024-07-31,유족,여,7518.454545454545,0.0,1161.5,31725.0,10704.93135018255,114595555.21212122
2024-08-31,본인,남,17813.545454545456,0.0,13630.0,124776.0,26782.403209725442,717297121.6883117
2024-08-31,본인,여,304.1818181818182,0.0,249.5,913.0,298.77506053306524,89266.53679653679
2024-08-31,유족,남,4542.818181818182,0.0,451.5,25720.0,7454.019239478177,55562402.82251082
2024-08-31,유족,여,7525.5,0.0,1154.5,31423.0,10704.62030531454,114588895.88095236
2024-09-30,본인,남,17786.272727272728,0.0,13676.5,124223.0,26686.884462279035,712189802.3030303
2024-09-30,본인,여,305.8636363636364,0.0,250.0,916.0,301.09613959894153,90658.88528138527
2024-09-30,유족,남,4558.681818181818,0.0,454.0,25850.0,7481.863425812504,55978280.32251082
2024-09-30,유족,여,7537.909090909091,0.0,1145.5,31168.0,10711.133241850524,114728375.32467534
2024-10-31,본인,남,17752.136363636364,0.0,13702.5,123796.0,26612.551958472985,708227921.7424242
2024-10-31,본인,여,306.77272727272725,0.0,247.5,912.0,301.844319983818,91109.99350649351
2024-10-31,유족,남,4578.181818181818,0.0,453.0,26040.0,7519.31095270459,56540037.203463204
2024-10-31,유족,여,7549.0,0.0,1146.5,30900.0,10724.244659826141,115009423.52380952
2024-11-30,본인,남,17725.272727272728,0.0,13780.0,123419.0,26552.607154175705,705040946.6839827
2024-11-30,본인,여,307.22727272727275,0.0,248.0,915.0,302.08071009459616,91252.75541125544
2024-11-30,유족,남,4596.590909090909,0.0,457.0,26206.0,7554.637608522588,57072549.396103896
2024-11-30,유족,여,7561.045454545455,0.0,1145.0,30612.0,10733.551866204503,115209135.66450217
2024-12-31,본인,남,17698.863636363636,0.0,13824.5,123285.0,26530.535525432457,703869315.2662337
2024-12-31,본인,여,308.45454545454544,0.0,253.0,933.0,303.1799288608487,91918.06926406927
2024-12-31,유족,남,4616.454545454545,0.0,451.5,26406.0,7595.749009916337,57695403.02164501
2024-12-31,유족,여,7573.136363636364,0.0,1144.0,30219.0,10740.51543631228,115358671.83766235
2025-01-31,본인,남,17674.68181818182,0.0,13875.0,122063.0,26348.777545306242,694258078.1320345
2025-01-31,본인,여,309.6818181818182,0.0,253.5,930.0,304.0201099807828,92428.22727272726
2025-01-31,유족,남,4632.454545454545,0.0,448.5,26415.0,7620.135105209424,58066459.02164505
2025-01-31,유족,여,7584.909090909091,0.0,1132.5,29801.0,10749.009996092844,115541215.89610389
2025-02-28,본인,남,17639.636363636364,0.0,13937.0,120807.0,26163.61144349598,684534563.7662338
2025-02-28,본인,여,312.1363636363636,0.0,253.0,935.0,306.88749225153003,94179.93290043292
2025-02-28,유족,남,4655.363636363636,0.0,451.5,26531.0,7661.754241160967,58702478.051948056
2025-02-28,유족,여,7596.136363636364,0.0,1124.0,29369.0,10763.585467834435,115854772.12337662
2025-03-31,본인,남,117.71428571428571,0.0,0.0,438.0,201.59506796688115,40640.57142857143
2025-03-31,본인,여,315.54545454545456,0.0,264.5,940.0,308.6669845631492,95275.30735930736
2025-03-31,유족,남,182.84615384615384,0.0,62.0,960.0,289.6347832914888,83888.3076923077
2025-03-31,유족,여,147.72727272727272,0.0,39.0,712.0,231.14458285198504,53427.81818181818
2025-04-30,본인,남,17593.227272727272,0.0,14028.5,118254.0,25821.53547116717,666751694.0887445
2025-04-30,본인,여,316.1363636363636,0.0,264.5,935.0,309.31418692611925,95675.26623376623
2025-04-30,유족,남,4698.5,0.0,461.0,26596.0,7729.919600087023,59751657.02380952
2025-04-30,유족,여,7616.772727272727,0.0,1120.0,29277.0,10801.286858658568,116667797.80303028
