진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,A89,남,입원,2 ,2 ,14 ,3421820 ,4994100 
2023,A89,여,외래,6 ,11 ,11 ,322720 ,480210 
2023,A89,여,입원,4 ,8 ,178 ,41673530 ,55279760 
2023,A92,남,외래,11 ,19 ,19 ,551500 ,1263180 
2023,A92,남,입원,1 ,1 ,5 ,2798390 ,3939680 
2023,A92,여,외래,11 ,35 ,35 ,660200 ,1804950 
2023,A92,여,입원,1 ,1 ,4 ,1390360 ,1693750 
2023,A93,남,외래,86 ,124 ,123 ,3867780 ,8872020 
2023,A93,남,입원,93 ,145 ,1332 ,742978470 ,955793390 
2023,A93,여,외래,106 ,158 ,158 ,5040430 ,12218440 
2023,A93,여,입원,108 ,152 ,1698 ,643485800 ,841656630 
2023,A94,남,외래,18 ,31 ,31 ,292550 ,1223810 
2023,A94,남,입원,1 ,1 ,1 ,127760 ,134480 
2023,A94,여,외래,29 ,49 ,49 ,790120 ,2445570 
2023,A95,남,외래,3 ,3 ,3 ,34120 ,67920 
2023,A95,여,외래,5 ,10 ,10 ,516500 ,691100 
2023,A97,남,외래,101 ,150 ,150 ,5262290 ,12356330 
2023,A97,남,입원,39 ,44 ,196 ,64033710 ,83168670 
2023,A97,여,외래,66 ,111 ,111 ,2516500 ,6134060 
2023,A97,여,입원,27 ,28 ,157 ,50255900 ,64933480 
2023,A98,남,외래,86 ,130 ,130 ,4972940 ,9500220 
2023,A98,남,입원,52 ,61 ,535 ,180483580 ,235489010 
2023,A98,여,외래,51 ,70 ,69 ,3046510 ,5590100 
2023,A98,여,입원,42 ,51 ,379 ,90915460 ,119956680 
2023,A99,남,외래,37 ,37 ,37 ,534080 ,765680 
2023,A99,남,입원,4 ,4 ,26 ,13141730 ,17277840 
2023,A99,여,외래,31 ,34 ,34 ,623980 ,916650 
2023,A99,여,입원,1 ,1 ,11 ,2258310 ,3056200 
2023,B00,남,외래,339718 ,527006 ,526922 ,7961540280 ,10903317380 
2023,B00,남,입원,818 ,963 ,5602 ,1217710240 ,1533055500 
2023,B00,여,외래,546462 ,829981 ,829854 ,12092261740 ,16534704310 
2023,B00,여,입원,1039 ,1245 ,6433 ,1411397990 ,1787914240 
2023,B01,남,외래,14185 ,25922 ,25911 ,335672100 ,507305930 
2023,B01,남,입원,548 ,602 ,3366 ,1011671900 ,1205923870 
2023,B01,여,외래,12003 ,21924 ,21917 ,282488470 ,424206830 
2023,B01,여,입원,414 ,464 ,2558 ,655646190 ,776908290 
2023,B02,남,외래,288621 ,752228 ,751972 ,15543276540 ,22935437600 
2023,B02,남,입원,9403 ,10726 ,74696 ,12869500680 ,17032480920 
2023,B02,여,외래,453844 ,1114924 ,1114628 ,21814952230 ,31771887500 
2023,B02,여,입원,15673 ,17793 ,137117 ,21245828660 ,28131618870 
2023,B04,남,외래,77 ,136 ,135 ,12592700 ,18604310 
2023,B04,남,입원,170 ,237 ,1830 ,531059470 ,629019050 
2023,B04,여,외래,9 ,9 ,9 ,196620 ,352420 
