년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비,진료과,high_cost,pred_bin,pred_cost
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,2027268.0,정형외과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,1605526.0,내과,1,1,1670186.377274899
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
